id,question,choices,answerKey
Mercury_7267750,What is significant about the discovery of water on Mars?,"{'text': ['It proves there is life on Mars.', 'It provides evidence there may be life on Mars.', 'It proves there was an advanced civilization on Mars.', 'It provides evidence of an advanced civilization on Mars.'], 'label': ['A', 'B', 'C', 'D']}",B
AKDE&ED_2008_4_43,A teacher places an item in a box. The item takes the shape of the entire container. This item is most likely,"{'text': ['air.', 'milk.', 'water.', 'paint.'], 'label': ['A', 'B', 'C', 'D']}",A
NYSEDREGENTS_2006_4_28,"In New York State, the shortest period of daylight occurs during which month?","{'text': ['December', 'June', 'March', 'September'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2003_5_24,During which of the processes below does water vapor change to liquid water?,"{'text': ['melting', 'freezing', 'evaporation', 'condensation'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_1999_8_2,Which technological advancement has done the most to improve the accuracy of weather predictions?,"{'text': ['barometer', 'weather balloons', 'anemometer', 'satellites'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7064715,An important rule for students to know when heating a test tube is to,"{'text': ['place a cork in the mouth of the test tube.', 'point the mouth of the test tube away from others.', 'hold the test tube loosely with the fingertips.', 'shake the test tube forcefully to keep contents mixed.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7099208,How would a drought most likely affect the plants of a grassy plain?,"{'text': ['There would be shorter plants.', 'They would have thicker stems.', 'There would be a greater variety.', 'They would have brighter flowers.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7021210,The brain and spinal cord are parts of which body system?,"{'text': ['nervous', 'excretory', 'endocrine', 'respiratory'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7057750,"Chromosome mutations involve the deletion or duplication of many genes. The effects of chromosome mutations are often much greater than mutations within a single gene, because chromosome mutations","{'text': ['can only occur at the time of fertilization.', 'can cause abnormal development of the offspring.', 'are always beneficial to the organism.', 'are rarely passed on to the next generation.'], 'label': ['A', 'B', 'C', 'D']}",B
NCEOGA_2013_5_50,What will most likely result when the jet stream moves south of North Carolina?,"{'text': ['North Carolina will experience tropical weather conditions.', 'North Carolina will experience hot, dry weather.', 'North Carolina will experience mild weather.', 'North Carolina will experience cold weather.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7185308,"Estuaries in Florida often have mangrove trees growing in them. The roots of the mangrove trees slow the flow of the water, which allows soil particles to settle. If people were allowed to remove the mangrove trees, how would the estuary environment most likely be affected?","{'text': ['The amounts of nutrients in the water would decrease.', 'More habitats for fish would be established.', 'Populations of grasses would increase.', 'The risk of erosion would be reduced.'], 'label': ['A', 'B', 'C', 'D']}",A
NYSEDREGENTS_2009_4_2,Which sense can be used to determine an object's ability to reflect light?,"{'text': ['sight', 'hearing', 'smell', 'taste'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7172463,The North America Nebula is named for its similarity in shape to the North American continent. It was discovered within the Milky Way by astronomer William Herschel in 1790. What was Mr. Herschel most likely observing?,"{'text': ['the explosion following the collapse of a star', 'a dense cluster of stars of varying magnitudes', 'meteorites as Earth passed through the tail of a comet', 'a cloud of hydrogen gas and dust where stars are born'], 'label': ['A', 'B', 'C', 'D']}",D
CSZ10356,Which animals are most likely to carry the seeds found in berries from the parent plant to another area?,"{'text': ['bees', 'birds', 'flies', 'caterpillars'], 'label': ['A', 'B', 'C', 'D']}",B
NYSEDREGENTS_2007_8_22,All rocks are composed of,"{'text': ['fossils', 'cells', 'metals', 'minerals'], 'label': ['1', '2', '3', '4']}",4
Mercury_7018358,"In some dry areas, large amounts of water have been pumped from underground sources where water has been naturally stored for thousands of years. If the water is not replaced, what type of land feature is most likely to result?","{'text': ['delta', 'lake', 'desert', 'mountains'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7032375,"Which scientist studied biology by traveling by ship to different islands observing animal life, and developed a hypothesis about how species change?","{'text': ['Galileo Galilei', 'Albert Einstein', 'Charles Darwin', 'Sir Isaac Newton'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7030100,How does a student best avoid becoming dehydrated during a field investigation on a hot day?,"{'text': ['drink water from a bottle', 'wear a wide-brimmed hat', 'drink a lot before leaving school', 'drink from a clear running stream'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7072328,The primary function of a doorbell circuit is to convert electrical energy into,"{'text': ['sound.', 'motion.', 'radiant energy.', 'chemical energy.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7057400,A lunar eclipse occurs when the Moon passes through Earth's shadow. A lunar eclipse can only occur during a,"{'text': ['full moon.', 'new moon.', 'first quarter moon.', 'last quarter moon.'], 'label': ['A', 'B', 'C', 'D']}",A
TAKS_2009_8_18,A recent study concluded that about 90% of all large predatory fish such as tuna have disappeared from the world's oceans in the past 50 years. Which of these is most likely the direct cause of this loss?,"{'text': ['Urban development near the coast', 'Commercial harvesting from the ocean', 'Climate change on Earth', 'Acid precipitation over the oceans'], 'label': ['A', 'B', 'C', 'D']}",B
NYSEDREGENTS_2009_4_4,"When an ice cube melts, its state of matter changes from a","{'text': ['gas to a liquid', 'solid to a liquid', 'liquid to a solid', 'solid to a gas'], 'label': ['A', 'B', 'C', 'D']}",B
NCEOGA_2013_5_4,In which way are evaporation and condensation similar?,"{'text': ['Both cause decreases in air temperature.', 'Both cause increases in air temperature.', 'Both are caused by the warming of the atmosphere.', 'Both are caused by changes in heat energy.'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2008_8_5714,The surface of a heated metal object measures 120°C. It is dropped into a bucket filled with water measuring 10°C. Which of the following is most likely to occur?,"{'text': ['Both the water and metal will adjust to the same temperature below 10°C.', 'The water and metal will adjust to different temperatures above 120°C.', 'The water will remain the same temperature, but the metal will cool to 10°C.', 'The water and metal will adjust to the same temperature between 10°C and 120°C.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_402493,"In order to record the passing of a distant comet, which instruments would be the most useful?","{'text': ['camera, tripod, and telescope', 'telescope, binoculars, and camera', 'camera with flash attachment, and tripod', 'telescope with camera attachment and camera'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_176593,Temperature is the measurement of which type of energy?,"{'text': ['chemical', 'mechanical', 'potential', 'kinetic'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_408047,Scientists are discovering ways to make some crops use less water. A person working in which job would most benefit from this research?,"{'text': ['a farmer', 'a doctor', 'a waiter', 'a cook'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7270375,"Stem cells are cells that can differentiate into many different kinds of cells. Scientists have discovered that the environment supporting the cells influences stem-cell differentiation. For example, stem cells grown on strong, flexible surfaces became muscle cells. What most likely happened to stem cells grown on a hard, rigid surface?","{'text': ['They became nerve cells.', 'They became red blood cells.', 'They became bone cells.', 'They became skin cells.'], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2009_8_2,Sherry is going to use her computer to draw a three-dimensional box. She wants to be able to specify the exact dimensions and angles and to rotate the box as needed on the screen. Which of the following types of programs would Sherry most likely use for this purpose?,"{'text': ['word processing software', 'math spreadsheet program', 'Internet-based search engine', 'computer-aided design program'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7173898,Scientists who have studied the hydrosphere concluded that about 71% of Earth is covered with water. Which part of the hydrosphere is most often associated with the formation of organic rocks?,"{'text': ['lakes', 'oceans', 'ponds', 'rivers'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7239155,Which property of proteins best allows them to perform an enormously diverse range of functions?,"{'text': ['their large, chemical-energy reserve', 'their large, stored-electric potential', 'the complexity of their folded structure', 'the wide variety of elements they include'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_411712,The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?,"{'text': ['5.8 kilometers per hour', '350 kilometers per hour', '1400 kilometers per hour', '84,000 kilometers per hour'], 'label': ['A', 'B', 'C', 'D']}",B
ACTAAP_2008_5_2,What is the best way for a marine scientist to determine the eating habits of sharks?,"{'text': ['Tag one shark and monitor its eating habits for one day.', 'Tag one shark and monitor its eating habits for one year.', 'Tag several sharks and monitor their eating habits for one day.', 'Tag several sharks and monitor their eating habits for one year.'], 'label': ['A', 'B', 'C', 'D']}",D
OHAT_2010_5_33,A student pushes a wooden block across a sheet of sandpaper. Which characteristic of the block increases?,"{'text': ['hardness', 'mass', 'size', 'temperature'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_410573,Amanda is learning about different adaptations of animals. Which is an example of a behavioral adaptation?,"{'text': ['webbed feet on a duck', 'migration of songbirds', 'sharp eyesight of an eagle', 'camouflaged colors on a frog'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2003_8_23,Which of the following is the best example of a custom-made product?,"{'text': ['graphing calculator', 'light bulb', 'needle nose pliers', 'artificial leg'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7131705,Michelle is interested in improving the quality of the soil in her yard. She wants more water and air to penetrate the soil. What should she add to the soil to help her achieve this goal?,"{'text': ['bacteria', 'fertilizers', 'pesticides', 'earthworms'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7090808,Which of these could cause water vapor to condense into rain droplets?,"{'text': ['sunlight warming the surface of oceans', 'air rising into colder regions of the atmosphere', 'lightning heating the air in the atmosphere', 'winds blowing along the surface of the ground'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7263130,The human body processes and eliminates food waste using the organs of the excretory system. Which organelle performs a similar function in humans at the cellular level?,"{'text': ['mitochondrion', 'endoplasmic reticulum', 'lysosome', 'Golgi complex'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_400237,What causes the most soil and rock erosion?,"{'text': ['sun', 'wind', 'water', 'gravity'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7012635,The theory of continental drift states that the land masses called continents were once closer together and have drifted apart over time. Which circumstance is the strongest evidence in support of this theory?,"{'text': ['the migration patterns of birds', 'the periodic climate changes of Earth', 'the large variety of animals on each continent', 'the similarity of fossils on different continents'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7108115,"Rich beds of marine fossils have been found in Florida. By dating these fossils, scientists can best determine","{'text': ['when Florida collided with the North American continent.', 'the date when organisms moved onto dry land.', 'the period during which Florida was covered in water.', 'when the atmosphere of Earth was more humid than it is today.'], 'label': ['A', 'B', 'C', 'D']}",C
OHAT_2010_5_34,"In the forest, one type of tree produces special seeds. These seeds start to grow only after going through a fire. In the fire, the adult trees are destroyed. Which resources, needed for growth, are now available to the newly growing seeds?","{'text': ['sunlight and wind', 'sunlight and space', 'soil and pollen producers', 'pollen producers and space'], 'label': ['A', 'B', 'C', 'D']}",B
NCEOGA_2013_5_53,Which is an example of a decomposer?,"{'text': ['a hawk', 'a mouse', 'a flower', 'a mushroom'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7024920,"In the lab, students are working with substances that could cause burns. Which of these safety precautions is most important to follow?","{'text': ['Sinks are empty.', 'Glassware is clean.', 'Eye protection is worn.', 'Electrical equipment is off.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7203543,Which process moves an ion across a cell membrane against the concentration gradient?,"{'text': ['diffusion', 'exocytosis', 'facilitated diffusion', 'active transport'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7137060,Which would most likely be the characteristic of an object with a small volume and large mass?,"{'text': ['high density', 'low pressure', 'low viscosity', 'high temperature'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7077543,Which of these describes a small range in the electromagnetic spectrum?,"{'text': ['gravity', 'radiation', 'electricity', 'light'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7064155,An idea that the universe originated with an explosion is supported by repeated observations of light from distant galaxies traveling away from Earth. An idea that has been tested repeatedly and is supported by repeated results is most likely a,"{'text': ['hypothesis.', 'theory.', 'law.', 'fact.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_182420,Natural selection cannot occur without,"{'text': ['competition for unlimited resources.', 'gradual warming of Earth.', 'genetic variation in species.', 'asexual reproduction in species.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_190278,In which of these investigations would pictures from a camera be most useful?,"{'text': ['studying bird calls', 'studying exothermic reactions', 'studying the growth of plants', 'studying the diffusion of molecules'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7032900,"Of the examples listed, which event is thought by scientists to have led to the greatest extinction?","{'text': ['a volcano in Hawaii erupting', 'the construction of the Hoover Dam', 'whalers of the 17th, 18th, and 19th centuries', 'the Mississippi River flooding its banks each summer'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7030643,The human stomach is protected from self-digestion by a layer of,"{'text': ['bile.', 'mucus.', 'muscle.', 'white blood cells.'], 'label': ['A', 'B', 'C', 'D']}",B
NYSEDREGENTS_2016_4_29,"On a field trip, a student holds a frog and reports that it has slippery skin. This is an example of","{'text': ['a measurement', 'a prediction', 'an explanation', 'an observation'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7008278,What most likely happens to soil when crops are not rotated from year to year?,"{'text': ['The soil nutrients are depleted.', 'The soil fertility increases.', 'The soil becomes more porous.', 'The soil erodes less rapidly.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_192238,Materials must pass through a cell's semi-permeable membrane in order for energy to be utilized. This process is called,"{'text': ['diffusion.', 'oxidation.', 'respiration.', 'reproduction.'], 'label': ['A', 'B', 'C', 'D']}",A
NYSEDREGENTS_2016_4_8,What is a decomposer?,"{'text': ['a living thing that breaks down dead organisms', 'a living thing that makes its own food', 'an animal that eats live plants', 'an animal that hunts other animals'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7171658,Modern technology has had some positive and negative effects on society. Which would be a negative effect of advances in technology?,"{'text': ['human jobs replaced by more efficient machines', 'decrease in production of solid waste', 'use of alternate sources of energy', 'reduction in habitat destruction'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7240783,Which of the following allows a cell to become specialized?,"{'text': ['location of the cell in the body', 'function of the cell in the body', 'different patterns of gene expression', 'different combinations of genes in the nucleus'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_401145,Which tool would be best to use for counting the number of legs on an ant?,"{'text': ['ruler', 'hand lens', 'calculator', 'microscope'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_415368,A dragonfly develops through incomplete metamorphosis. Which stages does the dragonfly's life cycle include?,"{'text': ['egg and larva', 'egg and nymph', 'larva and pupa', 'larva and nymph'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7182980,"When a cold front moves over a land region that has warm, moist air, a transfer of energy occurs. Cold air sinks and pushes warmer air upward. As energy is removed from the air, which change will most likely take place?","{'text': ['Ozone in the atmosphere will decrease.', 'Less ultraviolet radiation will reach the land.', 'More water will be absorbed from the area lakes.', 'Water in the atmosphere will undergo a phase change.'], 'label': ['A', 'B', 'C', 'D']}",D
NYSEDREGENTS_2005_8_29,Which sequence lists the levels of organization in the human body from simplest to most complex?,"{'text': ['organ system -> tissue -> cell -> organ', 'tissue -> cell -> organ -> organ system', 'organ -> organ system -> tissue -> cell', 'cell -> tissue -> organ -> organ system'], 'label': ['1', '2', '3', '4']}",4
NYSEDREGENTS_2011_8_21,Cancer is best described as,"{'text': ['a type of genetic engineering', 'the merging of sex cells', 'abnormal cell division', 'tissue that stops growing'], 'label': ['1', '2', '3', '4']}",3
Mercury_7263533,"To pump blood through the body, the heart must overcome the force of gravity. Which body position would require the least work from the heart?","{'text': ['sitting', 'standing', 'kneeling', 'lying down'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7112718,"In order to grow two of the exact same plants, a person would reproduce them asexually because the","{'text': ['genetic diversity is greater.', 'offspring would be genetically identical.', 'recessive traits would emerge.', 'negative traits are suppressed.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_183855,"In flowering plants, what structure containing DNA is transported from one plant to another?","{'text': ['nectar', 'chlorophyll', 'glucose', 'pollen'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2007_8_5181,"Several interchangeable parts are used in the manufacture of automobiles. Some examples of these parts are batteries, windshield wiper blades, spark plugs, and tires. Which of the following is an advantage of interchangeable parts over non-interchangeable parts on automobiles?","{'text': ['Interchangeable parts are generally more expensive than custom-made parts for automobiles.', 'Interchangeable parts break more often now than in years past on most automobiles.', 'Interchangeable parts are plentiful for custom-made automobiles.', 'Interchangeable parts can fit many kinds of automobiles.'], 'label': ['A', 'B', 'C', 'D']}",D
CSZ_2007_5_CSZ20560,Which of the following represents a chemical reaction?,"{'text': ['a sugar cube dissolving in water.', 'ice cubes forming in a freezer.', 'ice cream melting in a bowl.', 'a cake baking in an oven.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7017203,"When a hammer strikes a nail, the nail","{'text': ['exerts balanced forces that helps it from moving.', 'exerts a force equal to the weight of the hammer.', 'exerts an unbalanced force that changes its velocity.', 'exerts an equal and opposite force back on the hammer.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_400385,Which of these natural events occurs at time intervals that are the most regular?,"{'text': ['drought and flooding', 'high tides and low tides', 'clear skies and cloudy skies', 'hot weather and cool weather'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_407308,A student combined rice cereal with melted marshmallows. Which best describes what the student made?,"{'text': ['an atom', 'a mixture', 'a molecule', 'an element'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7097300,"Brittany pedaled her bicycle quickly on a level surface. When she stopped pedaling and coasted, the bicycle slowed and came to a stop. What happened to the energy of the moving bicycle as it coasted to a stop?","{'text': ['It was transferred to heat due to friction.', ""It was reabsorbed into Brittany's muscles."", 'It was stored in the bicycle wheels as potential energy.', 'It was transferred to the air in the form of visible light.'], 'label': ['A', 'B', 'C', 'D']}",A
MDSA_2009_5_26,"Homes that are built to be environmentally friendly because they use energy more efficiently than other homes are called ""green"" homes. ""Green"" homes often have reflective roofs and walls made of recycled materials. The windows in these energy-saving homes are double-paned, meaning each window has two pieces of glass. Double-paned windows have a layer of air between the window panes. This layer is a barrier against extreme temperatures and saves energy. A solar panel on a ""green"" home uses","{'text': ['chemical energy', 'mechanical energy', 'a renewable energy source', 'a nonrenewable energy source'], 'label': ['A', 'B', 'C', 'D']}",C
NYSEDREGENTS_2016_4_16,Which process occurs when rocks and soil slide down a mountain?,"{'text': ['erosion', 'migration', 'recycling', 'maintenance'], 'label': ['A', 'B', 'C', 'D']}",A
VASoL_2009_3_5,Tony is studying ladybugs in a garden. Which of these would BEST help Tony to count the spots on a ladybug?,"{'text': ['Stopwatch', 'Thermometer', 'Measuring cup', 'Magnifying glass'], 'label': ['A', 'B', 'C', 'D']}",D
ACTAAP_2009_5_10,Which is a physical property of an apple?,"{'text': ['what color it is', 'how pretty it is', 'how much it costs', 'when it was picked'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7211698,Repeated pesticide use on an insect population can result in some of the insects becoming resistant to that pesticide over time. Which process is responsible for the pesticides no longer being effective on the insects?,"{'text': ['divergent evolution', 'natural selection', 'bottleneck effect', 'selective breeding'], 'label': ['A', 'B', 'C', 'D']}",B
NYSEDREGENTS_2009_8_10,A boy pulls a sweater off over his head. His hair is attracted to the sweater due to,"{'text': ['a magnetic force', 'a heat transfer', 'a chemical change', 'an electrical charge'], 'label': ['1', '2', '3', '4']}",4
Mercury_7215635,"In some communities, forests are cleared through burning, and the deforested land is used for farming. Which of these is a negative consequence of this practice?","{'text': ['decreased plant and animal diversity', 'increased availability of soil nutrients', 'greater access to water for plants and animals', 'less sunlight reaching the ground'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7239540,Some plant cells are coated in a waxy layer that prevents water loss. This specialization is found in which plant cells?,"{'text': ['internal stem cells', 'internal root cells', 'cells on the plant surface', 'cells in the plant reproductive system'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7214655,Scientists recorded the hourly temperature at a weather station for the month of July and want to quickly measure a trend over time in temperature changes. Which of these formats would be the most appropriate representation of the temperature data to quickly measure any trend?,"{'text': ['bar graph', 'line graph', 'pie chart', 'data table'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7168840,A factory in Japan had been dumping mercury into Minamata Bay. Certain microorganisms in the water were able to change the mercury into a form that the plankton could use. Which most likely happened next?,"{'text': ['The organisms built up a resistance to the mercury.', 'The mercury passed through the food chain.', 'The plankton made the mercury safe.', 'The fish would not eat the plankton.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7159548,"Students conducted an investigation with green bananas. They hypothesized that an onion placed near a banana could increase the rate at which the banana ripened. They placed one onion and one banana in each of three containers. In a fourth container they placed a banana, but no onion. Which statement best explains why the onion was left out of the fourth container?","{'text': ['The onion would contaminate the fourth trial.', 'The container without the onion is the control.', 'Three containers with onions are enough to conduct the test.', 'The container without the onion is the independent variable.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_405505,"When cold weather freezes water in the cracks of rocks, which would most likely happen?","{'text': ['The rocks would become rounded.', 'The rocks would be used for shelter.', 'The rocks would be moved by the wind.', 'The rocks would break into smaller pieces.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7041073,What would best regulate the temperature of an overheated body?,"{'text': ['a decrease in sweating', 'a decrease in the breathing rate', 'a dilation of blood vessels in the skin', 'an increase in heart rate'], 'label': ['A', 'B', 'C', 'D']}",C
MDSA_2009_8_33,The surface of Earth is constantly changing. Which of these findings provides the best evidence that the crustal surface of Earth has changed over time?,"{'text': ['Some rock layers are very thick.', 'Some species have become extinct.', 'Marine fossils are found in mountain areas.', 'Igneous rock is found on all tectonic plates.'], 'label': ['A', 'B', 'C', 'D']}",C
MEA_2016_8_6,Solar radiation is a combination of light with different wavelengths. Which type of ray can harm human skin the most?,"{'text': ['infrared', 'microwave', 'ultraviolet', 'visible'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_405529,Water is often put through a treatment system before it is used in homes as drinking water. Which is the most likely reason water is treated before people drink it?,"{'text': ['to remove harmful substances', 'to add color', 'to increase its supply', 'to decrease its temperature'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_407290,How can plants most likely improve air quality?,"{'text': ['by absorbing nutrients', 'by producing oxygen', 'by producing sugar', 'by absorbing water'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7138268,"A condition in bees called ""colony collapse disorder"" occurs when worker bees leave the hive to collect nectar and never return. How would a decline in the bee population most likely affect a farm ecosystem?","{'text': ['There would be a decrease in soil thickness.', 'There would be a decline in fruit production.', 'There would be an increase in plant diseases.', 'There would be an increase in insect pest populations.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7058083,How are animals that prey on other animals classified?,"{'text': ['herbivores', 'carnivores', 'autotrophs', 'decomposers'], 'label': ['A', 'B', 'C', 'D']}",B
TAKS_2009_5_9,Which process will separate the sugar from a mixture of sugar and water?,"{'text': ['Stirring the mixture', 'Evaporating the water', 'Adding more water', 'Adding more sugar'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7235830,Which movement of carbon between reservoirs takes the longest to achieve?,"{'text': ['from burning coal to the atmosphere', 'from plant tissues to coal in the crust', 'from the atmosphere to the sugars in plants', 'from the respiration of fish to the ocean waters'], 'label': ['A', 'B', 'C', 'D']}",B
ACTAAP_2011_5_17,Which types of objects are most easily seen by the human eye?,"{'text': ['objects that reflect most of the light that strikes them', 'objects that refract most of the light that strikes them', 'objects that diffract most of the light that strikes them', 'objects that absorb most of the light that strikes them'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7001645,Planting legumes in order to add nitrogen to soil most likely causes,"{'text': ['a decrease in the amount of acid rain.', 'an enrichment in the fertility of the soil.', 'an increase in the ratio of nitrogen to oxygen in the system.', ""a reduction in the soil's ability to manufacture its own nitrogen.""], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_410595,Earth is about 81 times more massive than the Moon. How will the mass and weight of a rocket on the Moon compare to its mass and weight on Earth?,"{'text': ['The mass and weight will be less on the Moon.', 'The mass and weight will be greater on the Moon.', 'The mass will be the same, but its weight will be less on the Moon.', 'The mass will be the same, but its weight will be greater on the Moon.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_186393,"Louis Pasteur discovered a process that allows milk to be stored in sealed containers for long periods of time without spoiling. The process, called pasteurization, involves heating the milk before placing it in the sealed containers.Which is the best explanation of how pasteurization works?","{'text': ['Heat strengthens molecules that prevent spoiling.', 'The chemical structure of the food changes with the heat.', 'Heat killed microorganisms that could cause spoiling.', 'The food particles are better mixed after heating.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_401299,Which characteristic would best help a land animal survive in a cold Arctic climate?,"{'text': ['thick fur', 'large ears', 'smooth feet', 'slender body'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_400165,What is the most reasonable explanation for why a toy car rolls farther on a wood floor than on a thick carpet?,"{'text': ['The car weighs more on the carpet.', 'The car weighs more on the floor.', 'The carpet has more resistance.', 'The floor has more traction.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_401824,What part of the scientific method involves measuring the growth of a plant over a one-month period?,"{'text': ['analysis', 'observation', 'conclusion', 'hypothesis'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_400294,Which statement on a toothpaste package best supports the claim of fighting cavities?,"{'text': ['delivers great new flavor', 'patented triple cleansing action', 'guaranteed to make teeth sparkle', 'certified by the American Dental Association'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7082723,Which is a chemical compound?,"{'text': ['aluminum', 'carbonated water', 'sodium chloride', 'carbon-14'], 'label': ['A', 'B', 'C', 'D']}",C
VASoL_2011_5_23,Which of these human activities in a forest has a positive effect on the ecosystem?,"{'text': ['Clearing the land to build new homes', 'Planting new trees where old ones were cut down', 'Building a new highway through the area', 'Cutting down trees to make farmland'], 'label': ['A', 'B', 'C', 'D']}",B
NAEP_2005_4_S13+9,Which is an example of water condensing?,"{'text': ['A puddle disappearing on a hot summer afternoon', 'Sweat forming on your forehead after you do a lot of exercise', 'Ice cubes melting when you put them out in the sun', 'Dew forming on plants during a cold night'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7004445,"Gregor Mendel studied ratios related to traits passed from parent pea plants to offspring pea plants. Mendel used large numbers of plants to avoid ""sampling error."" This changed the way scientists studied genetics because it included ideas of","{'text': ['nuclei and DNA.', 'atoms and molecules.', 'ecology and environment.', 'mathematics and probability.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7040898,What season is the Northern Hemisphere experiencing when it is tilted directly toward the Sun?,"{'text': ['fall', 'winter', 'spring', 'summer'], 'label': ['A', 'B', 'C', 'D']}",D
TIMSS_1995_8_J2,Which species have been on the Earth for the shortest amount of time?,"{'text': ['Humans', 'Insects', 'Fish', 'Reptiles'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7014578,Which tool should be used to compare the growth of an algal colony growing in a petri dish?,"{'text': ['a scale', 'a ruler', 'a hand lens', 'a balance scale'], 'label': ['A', 'B', 'C', 'D']}",C
MDSA_2007_8_5,"Use The Periodic Table of the Elements and the information below to answer the question. Magnesium metal (Mg) is grayish-white in color and reacts actively with water. Fluorine (F2) is a greenish-yellow gas at room temperature and is a member of the halogen family. These two elements react to produce magnesium fluoride (MgF2), a chemical commonly used in making windows and lenses. How do the elements magnesium (Mg) and fluorine (F2) produce the compound magnesium fluoride (MgF2)?","{'text': ['by nuclear connection', 'by physically combining', 'by magnetic connection', 'by chemically combining'], 'label': ['A', 'B', 'C', 'D']}",D
